PROJECT_NAME,CREATED_AT,TOTAL_RESOURCES,COST_JAN_2026,COST_DEC_2025,COST_NOV_2025
sb-sandbox-patrimonial,2020-07-28,1742,41.72,41.01,36.39
MiPresupuestoBolivar,2022-10-25,162,0.0,0.0,0.0
