PROJECT_NAME,RESOURCE_NAME,SERVICE
sb-ecosistemaanalitico-redes,jira-to-n8n,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,allow-all-gke-to-onprem-test,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,allow-n8n-to-onprem-ssh,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,k8s2-r78vhvw8-operaciones-postgres-lb-1fsenitp,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,k8s2-r78vhvw8-operaciones-postgres-lb-1fsenitp-fw,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,k8s2-r78vhvw8-devops-postgres-lb-b160qm12,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,k8s2-r78vhvw8-devops-postgres-lb-b160qm12-fw,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,seti-to-gcp-ingress,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,allow-pods-n8n,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,gke-sb-n8n-prod-priv-a050c52f-vms,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,gke-sb-n8n-prod-priv-a050c52f-all,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,gke-sb-n8n-prod-priv-a050c52f-inkubelet,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,gke-sb-n8n-prod-priv-a050c52f-exkubelet,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,bolnet-com-co,dns.googleapis.com/ManagedZone
sb-ecosistemaanalitico-redes,bolivar-com,dns.googleapis.com/ManagedZone
sb-ecosistemaanalitico-redes,gke-sb-n8n-stg-priv-fdaae923-vms,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,gke-sb-n8n-stg-priv-fdaae923-all,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,gke-sb-n8n-stg-priv-fdaae923-exkubelet,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,gke-sb-n8n-stg-priv-fdaae923-inkubelet,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,allow-filestore-nfs-n8n-dev,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,gke-sb-n8n-priv-dev-237e640c-vms,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,gke-sb-n8n-priv-dev-237e640c-exkubelet,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,gke-sb-n8n-priv-dev-237e640c-inkubelet,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,gke-sb-n8n-priv-dev-237e640c-all,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,eks-rule-ingress,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,allow-n8n-https-internal,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,allow-n8n-internal-access,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,instance-20251018-143726,compute.googleapis.com/Instance
sb-ecosistemaanalitico-redes,allow-hc-n8n-internal,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,projects/sb-ecosistemaanalitico-redes/subscriptions/tenable-audit-logs-sub,pubsub.googleapis.com/Subscription
sb-ecosistemaanalitico-redes,projects/sb-ecosistemaanalitico-redes/topics/tenable-audit-logs,pubsub.googleapis.com/Topic
sb-ecosistemaanalitico-redes,sb-ea-net-prd-allow-https,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,sb-ea-net-prd-allow-http,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,darktracesensor-prod,compute.googleapis.com/Instance
sb-ecosistemaanalitico-redes,sb-ecosistemaanalitico-redes-ovf-import-bkt-us-east1,storage.googleapis.com/Bucket
sb-ecosistemaanalitico-redes,datastream-rule,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,sb-subnet-regional-proxy,compute.googleapis.com/Subnetwork
sb-ecosistemaanalitico-redes,gke-gke-dataiku-autopilot-1-e1d39075-exkubelet,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,gke-gke-dataiku-autopilot-1-e1d39075-inkubelet,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,gke-gke-dataiku-autopilot-1-e1d39075-all,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,gke-gke-dataiku-autopilot-1-e1d39075-vms,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,servicios-tierra,compute.googleapis.com/ForwardingRule
sb-ecosistemaanalitico-redes,deny-access-node-dataiku,compute.googleapis.com/Firewall
sb-ecosistemaanalitico-redes,allow-netskope-vm,compute.googleapis.com/Firewall
