PROJECT_NAME,RESOURCE_NAME,SERVICE
sb-prototipos-xops,ms-ailab-revisor-agente-correos-uc-00160-lrs,run.googleapis.com/Revision
sb-prototipos-xops,plataforma-ailab-deteccion-anomalias-pyg-stage-00059-d97,run.googleapis.com/Revision
sb-prototipos-xops,ms-ailab-revisor-agente-correos-uc-00159-zk5,run.googleapis.com/Revision
sb-prototipos-xops,ms-ailab-revisor-agente-correos-uc-00158-wzz,run.googleapis.com/Revision
sb-prototipos-xops,plataforma-ailab-deteccion-anomalias-pyg-stage-00058-nbm,run.googleapis.com/Revision
sb-prototipos-xops,plataforma-ailab-deteccion-anomalias-pyg-stage-00057-4gq,run.googleapis.com/Revision
sb-prototipos-xops,pl-patr-endosos-cotizador-00022-8kv,run.googleapis.com/Revision
sb-prototipos-xops,ms-ailab-revisor-agente-correos-uc-00157-59n,run.googleapis.com/Revision
sb-prototipos-xops,cloudbuild_20260217,bigquery.googleapis.com/Table
sb-prototipos-xops,ms-bancaseguros-multiagente-pymes-mas-digital-dev-00147-lqv,run.googleapis.com/Revision
sb-prototipos-xops,ms-bancaseguros-multiagente-pymes-mas-digital-dev-00146-v4p,run.googleapis.com/Revision
sb-prototipos-xops,ms-bancaseguros-multiagente-pymes-mas-digital-dev-00145-j76,run.googleapis.com/Revision
sb-prototipos-xops,cloudbuild_20260216,bigquery.googleapis.com/Table
sb-prototipos-xops,networkanalyzer_googleapis_com_analyzer_reports_20260216,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com__var_log_system_20260217,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com__var_log_datadog_dogstatsd_info_dogstatsd_stats_log_20260217,bigquery.googleapis.com/Table
sb-prototipos-xops,requests_20260217,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudsql_googleapis_com_postgres_log_20260217,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudaudit_googleapis_com_system_event_20260217,bigquery.googleapis.com/Table
sb-prototipos-xops,bigquerydatatransfer_googleapis_com_transfer_config_20260217,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudscheduler_googleapis_com_executions_20260217,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_stderr_20260217,bigquery.googleapis.com/Table
sb-prototipos-xops,plataforma-ailab-deteccion-anomalias-pyg-stage-00056-wsw,run.googleapis.com/Revision
sb-prototipos-xops,run_googleapis_com_stdout_20260217,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_requests_20260217,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudaudit_googleapis_com_data_access_20260217,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_varlog_system_20260217,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudaudit_googleapis_com_activity_20260217,bigquery.googleapis.com/Table
sb-prototipos-xops,plataforma-ailab-deteccion-anomalias-pyg-stage-00055-vtp,run.googleapis.com/Revision
sb-prototipos-xops,run_googleapis_com__var_log_system_20260216,bigquery.googleapis.com/Table
sb-prototipos-xops,networkanalyzer_googleapis_com_analyzer_reports_20260215,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com__var_log_datadog_dogstatsd_info_dogstatsd_stats_log_20260216,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudsql_googleapis_com_postgres_log_20260216,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudaudit_googleapis_com_system_event_20260216,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_requests_20260216,bigquery.googleapis.com/Table
sb-prototipos-xops,bigquerydatatransfer_googleapis_com_transfer_config_20260216,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_stdout_20260216,bigquery.googleapis.com/Table
sb-prototipos-xops,requests_20260216,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudscheduler_googleapis_com_executions_20260216,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_stderr_20260216,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudaudit_googleapis_com_data_access_20260216,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudaudit_googleapis_com_activity_20260216,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_varlog_system_20260216,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com__var_log_datadog_dogstatsd_info_dogstatsd_stats_log_20260215,bigquery.googleapis.com/Table
sb-prototipos-xops,networkanalyzer_googleapis_com_analyzer_reports_20260214,bigquery.googleapis.com/Table
sb-prototipos-xops,requests_20260215,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudsql_googleapis_com_postgres_log_20260215,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_requests_20260215,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudaudit_googleapis_com_system_event_20260215,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_varlog_system_20260215,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_stderr_20260215,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_stdout_20260215,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudscheduler_googleapis_com_executions_20260215,bigquery.googleapis.com/Table
sb-prototipos-xops,bigquerydatatransfer_googleapis_com_transfer_config_20260215,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudaudit_googleapis_com_data_access_20260215,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudaudit_googleapis_com_activity_20260215,bigquery.googleapis.com/Table
sb-prototipos-xops,networkanalyzer_googleapis_com_analyzer_reports_20260213,bigquery.googleapis.com/Table
sb-prototipos-xops,plataforma-ailab-chat-agendamiendo-node-00169-cbl,run.googleapis.com/Revision
sb-prototipos-xops,plataforma-ailab-chat-agendamiendo-node-00168-8fg,run.googleapis.com/Revision
