PROJECT_NAME,RESOURCE_NAME,SERVICE
Lab 03,lab03-ubuntu-free,compute.googleapis.com/Instance
Lab 03,default-allow-ssh,compute.googleapis.com/Firewall
Lab 03,default-allow-icmp,compute.googleapis.com/Firewall
Lab 03,default-allow-rdp,compute.googleapis.com/Firewall
Lab 03,default-allow-internal,compute.googleapis.com/Firewall
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Subnetwork
Lab 03,default,compute.googleapis.com/Network
Lab 04,lab04-bucket-project-4c33afcc-f8ac-4c94-8d9,storage.googleapis.com/Bucket
Lab 04,lab04-ubuntu-alwaysfree,compute.googleapis.com/Instance
Lab 04,default-allow-ssh,compute.googleapis.com/Firewall
Lab 04,default-allow-rdp,compute.googleapis.com/Firewall
Lab 04,default-allow-internal,compute.googleapis.com/Firewall
Lab 04,default-allow-icmp,compute.googleapis.com/Firewall
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Subnetwork
Lab 04,default,compute.googleapis.com/Network
